t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
laevissimus,novaeboracensis,modoc_west,new,0.0419550561797752,0.0384615384615385,0.0453759723422645,0.037164433880726,0.0334917891097666,0.0410544511668107,0.920880509939499,0.915730337078652,0.925885911840968,4628
laevissimus,novaeboracensis,new,modoc_west,0.040860738980121,0.037381158167675,0.0445116681071737,0.923557908383751,0.918755401901469,0.928262748487468,0.0355813526361279,0.0319792566983578,0.0393258426966292,4628
new,modoc_east,laevissimus,herculeanus,0.0279860638761719,0.0239844425237684,0.0324114088159032,0.95342731612651,0.949006050129646,0.957649092480553,0.0185866199973176,0.0157735522904062,0.0213915298184961,4628
new,modoc_east,laevissimus,chromaiodes,0.53061622984229,0.520959265134126,0.539757994814175,0.185035681888919,0.177398444252377,0.19295592048401,0.284348088268792,0.276145203111495,0.29299907238568,4628
new,modoc_east,laevissimus,modoc_west,0.0244043645115433,0.0175021607605877,0.0341400172860847,0.965292610527954,0.952463061265544,0.974503235631641,0.0103030249605029,0.00648228316384684,0.0149092448337846,4628
new,modoc_east,laevissimus,pennsylvanicus,0.403637653080059,0.395203111495246,0.412489196197061,0.419375814067808,0.409680207433016,0.42847882454624,0.176986532852133,0.169403593473727,0.184961106309421,4628
new,modoc_east,laevissimus,novaeboracensis,0.0525819477088498,0.0432152117545376,0.0617977528089888,0.915281857778462,0.904710458081245,0.92761452031115,0.0321361945126883,0.0267934312878133,0.037381158167675,4628
new,modoc_east,herculeanus,laevissimus,0.0279860638761719,0.0239844425237684,0.0324114088159032,0.0185866199973176,0.0157735522904062,0.0213915298184961,0.95342731612651,0.949006050129646,0.957649092480553,4628
new,modoc_east,herculeanus,chromaiodes,0.0356762648408674,0.0321953327571305,0.0393258426966292,0.0230368415965644,0.0207432971600481,0.0252809043390027,0.941286893562568,0.936689714779602,0.945332961394331,4628
new,modoc_east,herculeanus,modoc_west,0.169092307340621,0.157951598962835,0.182368193604149,0.598407244071355,0.580812445980985,0.60933448573898,0.232500448588024,0.219965475359869,0.247407087294728,4628
new,modoc_east,herculeanus,pennsylvanicus,0.0489456430225583,0.0438634399308557,0.0546672428694901,0.0407286149491721,0.0373811500905034,0.0440795159896284,0.91032574202827,0.904278305963699,0.915946413137424,4628
new,modoc_east,herculeanus,novaeboracensis,0.454905777464864,0.436257468397263,0.48163363907382,0.100722760653089,0.0738980121002593,0.124891988956782,0.444371461882047,0.427830596369922,0.469533377167972,4628
new,modoc_east,chromaiodes,modoc_west,0.0284878026549207,0.0218236819360415,0.0358686257562662,0.958023589837754,0.946413137424373,0.968236819360415,0.013488607507325,0.0086430404833534,0.0192307692307692,4628
new,modoc_east,chromaiodes,pennsylvanicus,0.684355809788989,0.675237537761984,0.692739844425238,0.277958545775388,0.269014693171997,0.287597296369338,0.0376856444356228,0.033923941227312,0.0412705272255834,4628
new,modoc_east,chromaiodes,novaeboracensis,0.0754113418780367,0.0650388936905791,0.0855661192739844,0.890706047906779,0.875756266205704,0.906655142610199,0.0338826102151845,0.0263612734742279,0.0406222990492653,4628
